Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2591403,-,b'Pouthisat',b'Cambodia',12.48,103.89,7,34,7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Wind Direction,Wind Speed
2016,1,1,0,0,25.3,21.200000000000003,0,0,0,0.13,1004,35,1.6
2016,1,1,1,0,24.700000000000003,21,0,0,0,0.13,1004,32,1.7000000000000002
2016,1,1,2,0,24.1,20.8,0,0,0,0.13,1003,30,1.8
2016,1,1,3,0,23.6,20.6,0,0,0,0.13,1003,28,1.9000000000000001
2016,1,1,4,0,23.1,20.400000000000002,0,0,0,0.13,1004,22,1.8
2016,1,1,5,0,22.6,20.200000000000003,0,0,0,0.13,1004,14,1.7000000000000002
2016,1,1,6,0,22.3,20.1,0,0,0,0.13,1005,5,1.7000000000000002
2016,1,1,7,0,23.6,17.400000000000002,41,322,80,0.19,1009,86,2.1
2016,1,1,8,0,25.900000000000002,16.900000000000002,76,676,306,0.19,1010,77,3
2016,1,1,9,0,28,16.6,89,829,528,0.19,1010,75,3.3000000000000003
2016,1,1,10,0,29.8,16.400000000000002,97,901,708,0.19,1009,72,3.3000000000000003
2016,1,1,11,0,31.3,16.1,102,931,825,0.19,1008,67,3.1
2016,1,1,12,0,32.4,16,108,932,867,0.19,1007,62,2.9000000000000004
2016,1,1,13,0,33,16,115,909,834,0.19,1006,59,2.6
2016,1,1,14,0,33.1,16.2,117,864,729,0.19,1004,57,2.4000000000000004
2016,1,1,15,0,32.7,16.400000000000002,112,783,560,0.19,1004,55,2.2
2016,1,1,16,0,31.900000000000002,16.8,100,634,348,0.19,1004,51,1.8
2016,1,1,17,0,29.200000000000003,19.700000000000003,63,336,123,0.19,1005,38,0.9
2016,1,1,18,0,27.6,19.400000000000002,0,0,0,0.19,1005,22,1.1
2016,1,1,19,0,26.8,19,0,0,0,0.19,1006,17,1.2000000000000002
2016,1,1,20,0,26.200000000000003,18.900000000000002,0,0,0,0.19,1006,17,1.3
2016,1,1,21,0,25.6,19,0,0,0,0.19,1007,19,1.3
2016,1,1,22,0,25,19,0,0,0,0.19,1007,23,1.3
2016,1,1,23,0,24.5,19.1,0,0,0,0.19,1007,32,1.3
2016,1,2,0,0,24,19,0,0,0,0.19,1007,43,1.3
2016,1,2,1,0,23.3,18.900000000000002,0,0,0,0.19,1007,53,1.3
2016,1,2,2,0,22.6,18.8,0,0,0,0.19,1006,58,1.2000000000000002
2016,1,2,3,0,22.1,18.7,0,0,0,0.19,1007,61,1.1
2016,1,2,4,0,21.900000000000002,18.5,0,0,0,0.19,1007,60,1
2016,1,2,5,0,21.8,18.3,0,0,0,0.19,1007,49,0.8
2016,1,2,6,0,21.6,18.2,0,0,0,0.19,1008,25,0.7000000000000001
2016,1,2,7,0,23.400000000000002,18.2,45,160,64,0.2,1009,15,1
2016,1,2,8,0,25.700000000000003,17.900000000000002,118,466,276,0.2,1009,48,1.5
2016,1,2,9,0,28,17.7,148,656,495,0.2,1009,58,1.8
2016,1,2,10,0,30.1,17.400000000000002,112,865,699,0.2,1009,57,1.9000000000000001
2016,1,2,11,0,31.700000000000003,17.2,117,905,819,0.2,1008,49,2
2016,1,2,12,0,32.800000000000004,17,119,921,869,0.2,1006,40,1.9000000000000001
2016,1,2,13,0,33.4,16.8,121,909,840,0.2,1005,30,1.7000000000000002
2016,1,2,14,0,33.6,16.5,113,885,741,0.2,1004,21,1.6
2016,1,2,15,0,33.2,16.5,101,830,577,0.2,1004,11,1.5
2016,1,2,16,0,32.300000000000004,16.400000000000002,82,722,366,0.2,1004,357,1.3
2016,1,2,17,0,29.5,19.1,51,478,137,0.2,1004,333,0.8
2016,1,2,18,0,27.6,18.6,0,0,0,0.2,1005,312,1.1
2016,1,2,19,0,26.5,18.3,0,0,0,0.2,1006,301,1.2000000000000002
2016,1,2,20,0,25.6,18.1,0,0,0,0.2,1007,294,1.3
2016,1,2,21,0,24.900000000000002,18,0,0,0,0.2,1007,290,1.4000000000000001
2016,1,2,22,0,24.200000000000003,18,0,0,0,0.2,1007,288,1.4000000000000001
2016,1,2,23,0,23.5,18.1,0,0,0,0.2,1007,288,1.4000000000000001
2016,1,3,0,0,22.900000000000002,18,0,0,0,0.2,1006,290,1.4000000000000001
2016,1,3,1,0,22.400000000000002,18,0,0,0,0.2,1006,291,1.3
2016,1,3,2,0,21.8,18,0,0,0,0.2,1005,294,1.2000000000000002
2016,1,3,3,0,21.3,18,0,0,0,0.2,1005,300,1
2016,1,3,4,0,20.900000000000002,18,0,0,0,0.2,1005,308,0.9
2016,1,3,5,0,20.6,17.8,0,0,0,0.2,1006,316,0.8
2016,1,3,6,0,20.6,17.7,0,0,0,0.2,1006,324,0.7000000000000001
2016,1,3,7,0,23,17.6,41,266,73,0.2,1007,326,1.2000000000000002
2016,1,3,8,0,26,17.6,90,586,287,0.2,1008,22,1.2000000000000002
2016,1,3,9,0,29.1,18.3,115,737,504,0.2,1008,54,1.8
2016,1,3,10,0,31.3,18.900000000000002,124,826,684,0.2,1007,58,1.9000000000000001
2016,1,3,11,0,32.800000000000004,19.3,132,865,804,0.2,1006,58,1.7000000000000002
2016,1,3,12,0,33.800000000000004,19.3,133,883,853,0.2,1005,56,1.5
2016,1,3,13,0,34.4,18.900000000000002,136,866,823,0.2,1004,52,1.2000000000000002
2016,1,3,14,0,34.6,18.5,126,840,724,0.2,1003,42,0.9
2016,1,3,15,0,34.300000000000004,18.2,113,781,563,0.2,1002,26,0.8
2016,1,3,16,0,33.4,18.400000000000002,91,665,354,0.2,1003,359,0.7000000000000001
2016,1,3,17,0,31,21.3,55,420,132,0.2,1003,327,0.6000000000000001
2016,1,3,18,0,28.900000000000002,20.400000000000002,0,0,0,0.2,1004,311,1
2016,1,3,19,0,27.6,20,0,0,0,0.2,1005,304,1.2000000000000002
2016,1,3,20,0,26.8,19.700000000000003,0,0,0,0.2,1006,299,1.2000000000000002
2016,1,3,21,0,26.1,19.6,0,0,0,0.2,1006,294,1.2000000000000002
2016,1,3,22,0,25.5,19.6,0,0,0,0.2,1006,288,1.2000000000000002
2016,1,3,23,0,25.1,19.700000000000003,0,0,0,0.2,1005,283,1.2000000000000002
2016,1,4,0,0,24.6,19.6,0,0,0,0.2,1005,279,1.2000000000000002
2016,1,4,1,0,24.1,19.5,0,0,0,0.2,1004,276,1.1
2016,1,4,2,0,23.700000000000003,19.5,0,0,0,0.2,1004,277,1.1
2016,1,4,3,0,23.400000000000002,19.400000000000002,0,0,0,0.2,1004,281,1
2016,1,4,4,0,23.3,19.200000000000003,0,0,0,0.2,1004,290,1
2016,1,4,5,0,23,19,0,0,0,0.2,1005,293,0.8
2016,1,4,6,0,22.900000000000002,18.900000000000002,0,0,0,0.2,1006,293,0.7000000000000001
2016,1,4,7,0,24.8,18.8,40,206,64,0.2,1007,295,0.9
2016,1,4,8,0,27.400000000000002,18,97,545,280,0.2,1008,323,0.7000000000000001
2016,1,4,9,0,30,17.2,189,474,439,0.2,1007,351,0.7000000000000001
2016,1,4,10,0,31.8,17,191,679,651,0.2,1007,5,0.8
2016,1,4,11,0,33.1,17.3,204,731,771,0.2,1006,11,0.8
2016,1,4,12,0,34,17.7,207,752,821,0.2,1004,360,0.7000000000000001
2016,1,4,13,0,34.4,17.7,219,710,783,0.2,1003,335,0.7000000000000001
2016,1,4,14,0,34.300000000000004,17.900000000000002,205,675,686,0.2,1003,318,1
2016,1,4,15,0,33.9,17.900000000000002,180,600,527,0.2,1002,311,1.2000000000000002
2016,1,4,16,0,32.9,18.2,139,470,325,0.2,1003,310,1.1
2016,1,4,17,0,30.400000000000002,20.700000000000003,69,249,115,0.2,1003,298,0.8
2016,1,4,18,0,28.900000000000002,20,0,0,0,0.2,1004,276,0.9
2016,1,4,19,0,27.900000000000002,19.700000000000003,0,0,0,0.2,1004,256,1
2016,1,4,20,0,26.8,19.700000000000003,0,0,0,0.2,1005,246,1
2016,1,4,21,0,25.700000000000003,19.8,0,0,0,0.2,1005,246,1.1
2016,1,4,22,0,25,19.900000000000002,0,0,0,0.2,1005,248,1.2000000000000002
2016,1,4,23,0,24.400000000000002,20.1,0,0,0,0.2,1005,249,1.2000000000000002
2016,1,5,0,0,23.900000000000002,20.3,0,0,0,0.2,1005,246,1.2000000000000002
2016,1,5,1,0,23.400000000000002,20.5,0,0,0,0.2,1004,243,1.1
2016,1,5,2,0,23,20.6,0,0,0,0.2,1004,241,1
2016,1,5,3,0,22.700000000000003,20.700000000000003,0,0,0,0.2,1004,240,0.9
2016,1,5,4,0,22.400000000000002,20.6,0,0,0,0.2,1004,238,0.8
2016,1,5,5,0,22.3,20.6,0,0,0,0.2,1005,233,0.6000000000000001
2016,1,5,6,0,22.400000000000002,20.8,0,0,0,0.2,1006,222,0.5
2016,1,5,7,0,24.3,21.400000000000002,42,144,59,0.2,1006,187,0.6000000000000001
2016,1,5,8,0,26.8,21.3,122,421,263,0.2,1007,116,0.5
2016,1,5,9,0,29.200000000000003,20.6,163,591,475,0.2,1007,69,0.7000000000000001
2016,1,5,10,0,31.3,19.8,173,715,658,0.2,1006,46,0.8
2016,1,5,11,0,32.7,19.5,187,758,776,0.2,1005,28,0.8
2016,1,5,12,0,33.6,19.400000000000002,190,779,827,0.2,1004,6,0.8
2016,1,5,13,0,33.9,19.400000000000002,368,58,414,0.2,1002,341,0.9
2016,1,5,14,0,33.800000000000004,19.3,213,664,688,0.2,1002,325,1
2016,1,5,15,0,33.300000000000004,19.400000000000002,184,600,532,0.2,1001,316,1.1
2016,1,5,16,0,32.4,19.900000000000002,139,486,333,0.2,1002,306,1
2016,1,5,17,0,30.1,22.200000000000003,70,268,120,0.2,1002,293,0.8
2016,1,5,18,0,28.400000000000002,21.900000000000002,0,0,0,0.2,1003,278,0.9
2016,1,5,19,0,27.3,21.8,0,0,0,0.2,1004,267,1
2016,1,5,20,0,26.400000000000002,21.8,0,0,0,0.2,1005,259,1.1
2016,1,5,21,0,25.6,21.8,0,0,0,0.2,1005,255,1.3
2016,1,5,22,0,25,21.900000000000002,0,0,0,0.2,1005,251,1.3
2016,1,5,23,0,24.400000000000002,21.900000000000002,0,0,0,0.2,1004,248,1.4000000000000001
2016,1,6,0,0,24,22,0,0,0,0.2,1004,245,1.4000000000000001
2016,1,6,1,0,23.6,22,0,0,0,0.2,1004,246,1.3
2016,1,6,2,0,23.200000000000003,22,0,0,0,0.2,1004,250,1.2000000000000002
2016,1,6,3,0,22.8,22.1,0,0,0,0.2,1004,255,1
2016,1,6,4,0,22.5,22.1,0,0,0,0.2,1004,258,0.8
2016,1,6,5,0,22.5,22,0,0,0,0.2,1004,260,0.6000000000000001
2016,1,6,6,0,22.700000000000003,22,0,0,0,0.2,1005,259,0.5
2016,1,6,7,0,24.5,22.900000000000002,42,108,54,0.2,1006,18,0.2
2016,1,6,8,0,26.5,23.1,139,345,255,0.2,1007,51,1
2016,1,6,9,0,28.5,22.6,198,504,463,0.2,1007,50,1.4000000000000001
2016,1,6,10,0,30.400000000000002,21.900000000000002,236,596,640,0.2,1006,41,1.5
2016,1,6,11,0,31.700000000000003,21.400000000000002,391,213,557,0.2,1006,30,1.6
2016,1,6,12,0,32.4,20.900000000000002,324,26,345,0.2,1005,20,1.5
2016,1,6,13,0,32.800000000000004,20.5,243,11,252,0.2,1003,10,1.4000000000000001
2016,1,6,14,0,32.7,20.3,202,691,698,0.2,1003,360,1.2000000000000002
2016,1,6,15,0,32.300000000000004,20.200000000000003,180,616,539,0.2,1003,350,0.9
2016,1,6,16,0,31.400000000000002,20.8,143,478,336,0.2,1003,331,0.7000000000000001
2016,1,6,17,0,29.8,22.5,74,255,122,0.2,1003,301,0.5
2016,1,6,18,0,28.400000000000002,22.3,0,0,0,0.2,1004,252,0.6000000000000001
2016,1,6,19,0,27.400000000000002,22.400000000000002,0,0,0,0.2,1005,236,0.9
2016,1,6,20,0,26.5,22.700000000000003,0,0,0,0.2,1005,232,1.1
2016,1,6,21,0,25.8,22.8,0,0,0,0.2,1005,231,1.1
2016,1,6,22,0,25.1,22.700000000000003,0,0,0,0.2,1005,230,1.2000000000000002
2016,1,6,23,0,24.700000000000003,22.6,0,0,0,0.2,1005,229,1.2000000000000002
2016,1,7,0,0,24.3,22.5,0,0,0,0.2,1004,226,1.1
2016,1,7,1,0,24,22.5,0,0,0,0.2,1004,227,1.1
2016,1,7,2,0,23.8,22.5,0,0,0,0.2,1004,228,1
2016,1,7,3,0,23.700000000000003,22.5,0,0,0,0.2,1004,223,0.8
2016,1,7,4,0,23.700000000000003,22.400000000000002,0,0,0,0.2,1005,200,0.6000000000000001
2016,1,7,5,0,23.700000000000003,22.200000000000003,0,0,0,0.2,1005,167,0.6000000000000001
2016,1,7,6,0,23.700000000000003,22.400000000000002,0,0,0,0.2,1006,145,0.7000000000000001
2016,1,7,7,0,25.200000000000003,23.5,36,0,36,0.2,1007,133,1.1
2016,1,7,8,0,27.3,23.700000000000003,129,394,261,0.2,1008,121,1.3
2016,1,7,9,0,28.6,23.1,200,423,423,0.2,1008,118,1.5
2016,1,7,10,0,30,22.700000000000003,205,647,643,0.2,1007,112,1.3
2016,1,7,11,0,30.900000000000002,22.5,210,717,768,0.2,1006,104,1.3
2016,1,7,12,0,31.6,22.3,206,751,821,0.2,1005,97,1.1
2016,1,7,13,0,31.700000000000003,21.900000000000002,393,289,624,0.2,1004,84,0.9
2016,1,7,14,0,31.700000000000003,21.700000000000003,269,557,670,0.2,1003,67,0.8
2016,1,7,15,0,31.200000000000003,21.8,242,379,463,0.2,1003,56,0.7000000000000001
2016,1,7,16,0,30.5,22.3,154,345,294,0.2,1003,43,0.5
2016,1,7,17,0,29.400000000000002,23.1,77,201,115,0.2,1004,25,0.4
2016,1,7,18,0,28.6,23,0,0,0,0.2,1005,331,0.4
2016,1,7,19,0,27.8,23,0,0,0,0.2,1006,297,0.6000000000000001
2016,1,7,20,0,27,23.1,0,0,0,0.2,1006,276,0.8
2016,1,7,21,0,26.1,23,0,0,0,0.2,1006,262,0.9
2016,1,7,22,0,25.400000000000002,22.8,0,0,0,0.2,1006,255,1
2016,1,7,23,0,24.8,22.700000000000003,0,0,0,0.2,1005,251,1
2016,1,8,0,0,24.400000000000002,22.6,0,0,0,0.2,1005,247,1.1
2016,1,8,1,0,24,22.700000000000003,0,0,0,0.2,1004,243,1.2000000000000002
2016,1,8,2,0,23.900000000000002,22.900000000000002,0,0,0,0.2,1004,238,1.1
2016,1,8,3,0,23.900000000000002,23.1,0,0,0,0.2,1004,234,1
2016,1,8,4,0,23.8,23.3,0,0,0,0.2,1004,230,0.8
2016,1,8,5,0,23.8,23.3,0,0,0,0.2,1005,226,0.4
2016,1,8,6,0,24,23.400000000000002,0,0,0,0.2,1006,209,0.1
2016,1,8,7,0,24.900000000000002,23.700000000000003,5,0,5,0.2,1006,61,0.5
2016,1,8,8,0,26,24,79,0,79,0.2,1007,63,1.1
2016,1,8,9,0,26.900000000000002,23.6,42,0,42,0.2,1007,73,1.5
2016,1,8,10,0,27.900000000000002,23.400000000000002,60,0,60,0.2,1006,80,1.6
2016,1,8,11,0,29.1,23,72,0,72,0.2,1006,73,1.4000000000000001
2016,1,8,12,0,29.900000000000002,22.700000000000003,74,0,74,0.2,1004,44,1.3
2016,1,8,13,0,30.200000000000003,22.6,71,0,71,0.2,1003,24,1.5
2016,1,8,14,0,30.200000000000003,22.5,153,0,153,0.2,1002,38,1.4000000000000001
2016,1,8,15,0,30,22.6,148,0,148,0.2,1002,67,1.2000000000000002
